id,type_of_shot,frame_count,kpt_0_x,kpt_0_y,kpt_1_x,kpt_1_y,kpt_2_x,kpt_2_y,kpt_3_x,kpt_3_y,kpt_4_x,kpt_4_y,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
1,lift,0,0,0,0,0,0,0,1033.621826,327.6799011,0,0,1022.467041,373.3528748,1099.624634,369.7793274,1012.888245,430.0915833,1133.163696,421.2144165,994.2581177,486.9187012,1133.378662,466.2607422,1048.14209,492.2670593,1104.637817,494.3101807,976.3492432,536.631958,1146.194458,568.4366455,951.4489746,641.065979,1181.833862,667.6361084
1,lift,1,0,0,0,0,0,0,1015.675293,334.7258301,0,0,1011.698608,378.4997864,1089.227173,371.2933044,1001.764526,441.5328674,1096.155029,436.8006592,982.6696167,493.5504761,0,0,1037.713623,499.6579285,1095.950195,499.1541443,963.2268677,535.2498169,1142.637329,567.0863037,947.0724487,642.208252,1181.72998,667.9983521
1,lift,2,0,0,0,0,0,0,998.7994385,335.4720154,0,0,998.1641235,378.2948608,1068.692871,367.8131409,989.8892822,438.9969177,1075.501221,424.9871521,968.5997925,481.7684937,0,0,1025.028198,498.8178406,1079.600342,496.93573,950.0811157,528.109375,1129.960083,565.3302612,947.6107788,638.5962524,1180.80957,662.6049805
1,lift,3,0,0,0,0,0,0,980.6959229,335.7013855,0,0,980.9949951,376.9904175,1041.998413,367.6341553,968.1401978,436.9820862,1051.51001,417.2196045,940.0264893,486.9142151,0,0,1013.718628,495.2267456,1061.901855,491.3033142,932.8361206,531.6317749,1100.786865,556.3806152,943.0543213,640.2924805,1171.339355,646.8251953
1,lift,4,0,0,0,0,0,0,955.526001,338.8167725,0,0,959.5870361,378.6962891,1020.720398,360.647644,941.6634521,437.8920898,1028.312256,411.1851196,906.4300537,490.1333008,0,0,998.5196533,491.3743896,1047.526489,483.4872437,925.7312012,542.7594604,1085.34082,559.9084473,942.2091064,643.6645508,1160.384644,638.1270752
1,lift,5,0,0,0,0,0,0,933.5349731,343.2982483,0,0,944.9980469,381.5238037,997.1567993,363.5483398,916.0145874,435.7749939,0,0,891.8068237,480.2900391,0,0,986.3597412,489.0628357,1032.585938,481.5559082,918.519104,546.0891113,1067.862549,564.5372314,942.2541504,645.1971436,1147.80957,634.4795532
1,lift,6,0,0,0,0,0,0,918.1295166,349.0912781,0,0,931.9742432,390.6481323,968.8525391,359.8264771,898.7716064,444.0010071,946.7866211,410.7827148,869.4519043,480.615448,0,0,980.9326172,490.0895996,1019.404541,477.6118774,910.1583252,548.4507446,1038.027466,565.7285156,941.2444458,643.7406006,1115.679199,612.6706543
1,lift,7,0,0,0,0,0,0,0,0,0,0,912.2318115,397.8801575,953.2991943,362.8040771,875.1243896,452.3783875,953.7705078,393.053772,842.5817871,479.2175598,0,0,969.5291748,493.2149658,1008.848389,479.1238098,901.8065186,551.2694092,1010.577637,559.7376709,937.25,645.1048584,1071.03479,590.4674072
1,lift,8,0,0,0,0,0,0,870.7679443,360.656311,0,0,886.8500977,404.4848328,933.4654541,365.8095703,848.3969116,458.336731,945.1415405,400.1824951,817.7324219,481.5158081,0,0,961.2429199,489.0551758,995.7772827,472.0255127,894.9779663,555.4539185,979.2156982,547.7331543,936.605835,646.0201416,1042.723511,578.9593506
1,lift,9,861.3868408,359.0673218,865.5193481,351.6939697,855.7173462,353.0706787,873.9277344,352.5778809,0,0,882.7086182,393.0307922,907.7485962,372.5239868,849.5559082,429.6957703,895.7857056,410.8900146,831.7037354,441.9583435,842.638855,438.6707153,954.850708,478.7318726,975.2645264,464.7476807,887.1887817,555.7305908,952.9553223,525.4210205,935.9935303,643.0700073,1019.4422,572.4178467
